STATIONGROUP,FACTOR,SEASONGROUP
CO0,0.320611969578387,M01-Jan
CO1,0.4324017636158536,M01-Jan
CO2,1.1402537808871442,M01-Jan
CO3,0.3857536633623297,M01-Jan
CO4,0.7518059075494997,M01-Jan
CO5,0.8082633568318279,M01-Jan
CO6,0.8930546009272727,M01-Jan
CO7,0.7706564188241717,M01-Jan
CO8,0.9461899911139956,M01-Jan
CO9,0.6496647908456837,M01-Jan
COA,0.7722741039944213,M01-Jan
COB,0.8654792916854331,M01-Jan
COC,0.9263964220523472,M01-Jan
COD,0.9583026748590464,M01-Jan
COE,0.7399344271676772,M01-Jan
COF,0.9449540616525788,M01-Jan
COG,0.9173191526151484,M01-Jan
COH,0.9119894254952744,M01-Jan
COI,1.3198774376050646,M01-Jan
COJ,0.4149750899264168,M01-Jan
COK,1.147655333380896,M01-Jan
COL,0.5595941631436028,M01-Jan
COM,0.2509847916342588,M01-Jan
CON,0.5368000360619636,M01-Jan
COO,0.6606606929139981,M01-Jan
COP,0.81593663621472,M01-Jan
COQ,0.7909732368480461,M01-Jan
COR,0.8522930576048603,M01-Jan
COS,0.8599703183771631,M01-Jan
COT,0.9024160599709178,M01-Jan
COU,0.9345850552812196,M01-Jan
COV,0.9600213031428524,M01-Jan
COW,0.8591475377364065,M01-Jan
COX,0.8667134521250794,M01-Jan
COY,0.7470626180350047,M01-Jan
COZ,0.7842770921601356,M01-Jan
XX3,0.9361554053528396,M01-Jan
CO0,0.3394940097513057,M02-Feb
CO1,0.4560697759655718,M02-Feb
CO2,1.1206950445816133,M02-Feb
CO3,0.419881162166227,M02-Feb
CO4,0.8353217412785494,M02-Feb
CO5,0.8710036215137416,M02-Feb
CO6,0.9381227216784546,M02-Feb
CO7,0.7755957709827622,M02-Feb
CO8,0.978146804148265,M02-Feb
CO9,0.6688100075021773,M02-Feb
COA,0.8587334534925244,M02-Feb
COB,0.91778884155179,M02-Feb
COC,0.9576378834705308,M02-Feb
COD,0.9399710084642756,M02-Feb
COE,0.7672781768952474,M02-Feb
COF,0.9581873558355284,M02-Feb
COG,0.9555230524372134,M02-Feb
COH,0.8981896797828193,M02-Feb
