SEGID,AADT2019,ATYPE,FTGROUP,FACGEO,STATIONGROUP
0006_141.0,1517.0,1,Arterial,Statewide,COP
0006_146.9,1517.0,1,Arterial,Statewide,COP
0006_149.9,2441.0,1,Arterial,Statewide,COP
0006_150.6,2441.0,1,Arterial,Statewide,COP
0006_152.6,2417.0,1,Arterial,Statewide,COP
0006_152.9,3759.0,1,Arterial,Statewide,COQ
0006_155.8,3759.0,1,Arterial,Statewide,COQ
0006_155.9,4979.0,1,Arterial,Statewide,COQ
0006_157.3,4979.0,1,Arterial,Statewide,COQ
0006_157.6,4979.0,1,Arterial,Statewide,COQ
0006_158.5,4979.0,2,Arterial,Statewide,COS
0006_158.9,4979.0,2,Arterial,Statewide,COS
0006_159.3,6709.0,2,Arterial,Statewide,COS
0006_159.6,6709.0,3,Arterial,Statewide,COT
0006_159.8,12656.0,3,Arterial,Statewide,COT
0006_160.3,18905.0,2,Arterial,Statewide,COS
0006_173.4,34688.0,4,Freeway,Statewide,XX3
0006_173.7,34688.0,4,Freeway,Statewide,XX3
0006_174.0,31787.0,3,Freeway,Statewide,XX3
0006_174.4,31787.0,3,Freeway,Statewide,XX3
0006_174.9,24498.0,3,Freeway,Statewide,XX3
0006_175.6,24498.0,3,Expressway,Statewide,COT
0006_176.1,24498.0,2,Expressway,Statewide,COS
0006_177.0,24498.0,2,Expressway,Statewide,COS
0006_177.2,13166.0,2,Expressway,Statewide,COS
0006_177.5,13166.0,2,Expressway,Statewide,COS
0006_177.9,12049.0,2,Expressway,Statewide,COS
0006_178.8,12049.0,1,Expressway,Statewide,COQ
0006_181.6,12049.0,1,Expressway,Statewide,COQ
0006_184.1,12049.0,1,Expressway,Statewide,COQ
0006_187.5,9477.0,1,Expressway,Statewide,COQ
0006_194.8,9407.0,1,Expressway,Statewide,COQ
0006_203.6,9407.0,1,Expressway,Statewide,COQ
0006_211.2,9214.0,1,Expressway,Statewide,COQ
0006_216.2,8033.0,1,Expressway,Statewide,COQ
0006_221.1,8033.0,1,Arterial,Statewide,COQ
0013_000.0,19514.0,3,Arterial,Statewide,COT
0013_000.6,19514.0,4,Arterial,Statewide,COU
0013_001.3,15538.0,4,Arterial,Statewide,COU
0013_001.6,16594.0,4,Arterial,Statewide,COU
0013_001.8,16594.0,3,Arterial,Statewide,COT
0013_002.5,16594.0,3,Arterial,Statewide,COT
0013_002.9,5284.0,3,Arterial,Statewide,COT
0013_003.3,5284.0,2,Arterial,Statewide,COS
0013_004.9,8666.0,1,Arterial,Statewide,COQ
0013_005.6,9852.0,1,Arterial,Statewide,COQ
0015_241.6,28510.0,1,Freeway,I15,CO4
0015_242.4,31333.0,2,Freeway,I15,CO5
0015_244.8,44054.0,2,Freeway,I15,CO5
0015_246.9,44054.0,2,Freeway,I15,CO5
0015_248.8,48398.0,2,Freeway,I15,CO5
0015_250.9,62573.0,2,Freeway,I15,CO5
0015_251.6,62573.0,2,Freeway,I15,CO5
0015_252.5,62573.0,2,Freeway,I15,CO5
0015_253.6,62749.0,2,Freeway,I15,CO5
0015_255.9,62749.0,2,Freeway,I15,CO5
0015_257.3,81617.0,4,Freeway,I15,CO6
0015_257.6,109371.0,3,Freeway,I15,CO6
0015_258.8,109371.0,3,Freeway,I15,CO6
0015_260.0,127520.0,3,Freeway,I15,CO6
0015_261.8,139454.0,3,Freeway,I15,CO6
0015_263.4,136122.0,4,Freeway,I15,CO6
0015_264.2,136122.0,4,Freeway,I15,CO6
0015_265.6,156715.0,3,Freeway,I15,CO6
0015_266.5,156715.0,3,Freeway,I15,CO6
0015_267.0,156715.0,3,Freeway,I15,CO6
0015_267.9,156715.0,4,Freeway,I15,CO6
0015_269.0,203203.0,4,Freeway,I15,CO6
0015_269.6,203203.0,4,Freeway,I15,CO6
0015_270.6,172724.0,4,Freeway,I15,CO6
0015_271.6,226144.0,4,Freeway,I15,CO6
0015_272.7,224692.0,3,Freeway,I15,CO6
0015_274.7,224692.0,4,Freeway,I15,CO6
0015_275.3,197359.0,4,Freeway,I15,CO6
0015_276.4,204775.0,4,Freeway,I15,CO6
0015_278.5,196832.0,4,Freeway,I15,CO6
0015_279.6,167079.0,3,Freeway,I15,CO6
0015_282.2,0.0,4,Freeway,I15,CO6
0015_283.3,0.0,4,Freeway,I15,CO6
0015_283.9,183972.0,4,Freeway,I15,CO6
0015_285.1,183972.0,3,Freeway,I15,CO6
0015_285.5,183972.0,2,Freeway,I15,CO5
0015_285.8,183972.0,3,Freeway,I15,CO6
0015_286.8,183972.0,3,Freeway,I15,CO6
0015_288.2,172642.0,4,Freeway,I15,CO6
0015_289.8,213024.0,4,Freeway,I15,CO6
0015_291.4,181420.0,4,Freeway,I15,CO6
0015_292.6,187465.0,4,Freeway,I15,CO6
0015_293.0,193512.0,4,Freeway,I15,CO6
0015_293.6,193512.0,4,Freeway,I15,CO6
0015_295.6,263955.0,4,Freeway,I15,CO6
0015_297.9,275014.0,4,Freeway,I15,CO6
0015_299.0,205674.0,4,Freeway,I15,CO6
0015_300.3,238221.0,4,Freeway,I15,CO6
