SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0006_141.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,122,150,171,0.07,0.09,0.1
0006_141.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,94,112,126,0.05,0.06,0.07
0006_141.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,158,175,199,0.07,0.08,0.09
0006_146.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,123,151,172,0.08,0.1,0.11
0006_146.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,94,111,126,0.05,0.06,0.07
0006_146.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,157,174,198,0.07,0.08,0.09
0006_149.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,191,233,264,0.13,0.16,0.18
0006_149.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,148,169,191,0.08,0.09,0.11
0006_149.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,393,423,481,0.2,0.21,0.24
0006_150.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,192,233,265,0.13,0.16,0.18
0006_150.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,150,171,194,0.08,0.09,0.11
0006_150.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,384,414,470,0.19,0.21,0.24
0006_152.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1966,195,237,269,0.14,0.17,0.2
0006_152.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1966,157,179,203,0.09,0.1,0.12
0006_152.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1966,361,389,442,0.21,0.22,0.25
0006_152.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2022,308,375,426,0.2,0.24,0.27
0006_152.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2022,270,306,348,0.14,0.16,0.19
0006_152.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2022,513,552,628,0.28,0.3,0.34
0006_155.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,353,426,484,0.22,0.27,0.31
0006_155.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,307,354,403,0.16,0.19,0.21
0006_155.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,583,668,759,0.32,0.36,0.41
0006_155.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,392,476,542,0.25,0.3,0.34
0006_155.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,346,393,446,0.17,0.2,0.22
0006_155.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,627,675,768,0.32,0.35,0.39
0006_157.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,429,522,593,0.25,0.3,0.34
0006_157.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,407,462,526,0.2,0.22,0.25
0006_157.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,681,734,834,0.34,0.36,0.41
0006_157.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2094,452,550,625,0.26,0.32,0.36
0006_157.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2094,430,488,556,0.21,0.24,0.27
0006_157.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2094,704,759,862,0.35,0.38,0.43
0006_158.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1996,642,776,881,0.36,0.43,0.49
0006_158.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1996,620,713,812,0.31,0.36,0.41
0006_158.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1996,928,1063,1209,0.48,0.55,0.63
0006_158.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1996,726,876,995,0.37,0.45,0.51
0006_158.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1996,698,804,914,0.35,0.41,0.46
0006_158.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1996,1043,1196,1359,0.53,0.6,0.68
0006_159.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,860,1032,1121,0.23,0.28,0.3
0006_159.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,828,955,1038,0.22,0.26,0.28
0006_159.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1238,1377,1496,0.34,0.37,0.41
