SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0006_141.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,156,191,218,0.09,0.11,0.13
0006_141.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,121,142,161,0.06,0.07,0.08
0006_141.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,208,231,262,0.1,0.11,0.13
0006_146.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,156,192,218,0.1,0.13,0.14
0006_146.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,121,142,161,0.07,0.08,0.09
0006_146.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,207,230,262,0.11,0.12,0.13
0006_149.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,258,313,357,0.12,0.15,0.17
0006_149.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,229,259,295,0.12,0.13,0.15
0006_149.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,396,427,485,0.22,0.24,0.27
0006_150.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2130,263,320,364,0.13,0.15,0.17
0006_150.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2130,233,264,301,0.12,0.14,0.15
0006_150.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2130,402,433,492,0.23,0.24,0.28
0006_152.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1966,255,310,353,0.15,0.18,0.2
0006_152.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1966,230,260,297,0.13,0.14,0.16
0006_152.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1966,386,417,473,0.22,0.23,0.27
0006_152.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2022,365,444,505,0.2,0.24,0.27
0006_152.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2022,339,385,438,0.18,0.21,0.23
0006_152.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2022,557,599,681,0.3,0.32,0.37
0006_155.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2032,416,503,571,0.22,0.27,0.31
0006_155.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2032,386,445,506,0.21,0.24,0.27
0006_155.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2032,634,726,825,0.34,0.39,0.44
0006_155.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1991,347,419,477,0.18,0.22,0.25
0006_155.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1991,310,358,407,0.17,0.19,0.22
0006_155.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1991,541,620,704,0.29,0.33,0.38
0006_157.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1991,397,479,545,0.2,0.24,0.28
0006_157.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1991,388,448,509,0.2,0.23,0.26
0006_157.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1991,612,702,798,0.32,0.37,0.42
0006_157.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1982,430,520,591,0.19,0.23,0.26
0006_157.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1982,428,494,561,0.21,0.24,0.27
0006_157.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1982,662,759,863,0.33,0.38,0.43
0006_158.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1912,432,517,563,0.22,0.26,0.29
0006_158.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1912,445,513,558,0.22,0.26,0.28
0006_158.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1912,688,765,831,0.34,0.38,0.41
0006_158.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1920,355,426,462,0.24,0.28,0.31
0006_158.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1920,362,418,454,0.19,0.22,0.24
0006_158.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1920,543,605,657,0.32,0.36,0.39
0006_159.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,548,657,714,0.19,0.22,0.24
0006_159.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,549,633,687,0.15,0.17,0.19
0006_159.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,832,927,1008,0.26,0.28,0.31
0006_159.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,686,823,894,0.23,0.27,0.3
0006_159.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,716,825,897,0.19,0.22,0.24
0006_159.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1069,1190,1294,0.32,0.36,0.39
0006_159.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1086,1302,1415,0.33,0.39,0.42
0006_159.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1075,1239,1347,0.3,0.35,0.38
0006_159.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1636,1820,1978,0.44,0.49,0.54
0006_160.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1858,1483,1779,1934,0.43,0.52,0.57
0006_160.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1424,1641,1783,0.39,0.45,0.49
0006_160.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,2203,2451,2663,0.6,0.67,0.72
0006_173.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,6,6889,4370,5176,5627,0.61,0.72,0.78
0006_173.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,6,6889,4650,5756,6258,0.47,0.56,0.61
0006_173.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,6,6889,7050,7754,8428,0.76,0.84,0.91
0006_173.7,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,5416,4199,4966,5399,0.63,0.74,0.81
0006_173.7,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,5416,3924,4915,5341,0.43,0.55,0.6
0006_173.7,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,5416,6291,6934,7429,0.83,0.92,0.97
0006_174.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,5416,4170,4918,5346,0.71,0.83,0.91
0006_174.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,5416,3632,4608,5008,0.48,0.62,0.67
0006_174.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,5416,6237,6890,7251,0.93,1.03,1.05
0006_174.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,5486,4130,4874,5297,0.66,0.77,0.84
0006_174.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,5486,3587,4512,4905,0.46,0.59,0.64
0006_174.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,5486,6144,6809,7291,0.84,0.93,0.98
0006_174.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,3460,3868,4548,4837,0.77,0.9,0.95
0006_174.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,3460,3449,4410,4793,0.55,0.7,0.76
0006_174.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,3460,5713,6326,6638,0.93,1.03,1.05
0006_175.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2741,3288,3435,0.85,1.02,1.04
0006_175.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2400,2767,3007,0.62,0.71,0.77
0006_175.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3679,4093,4237,0.97,1.08,1.1
0006_176.1,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2484,2978,3237,0.69,0.83,0.9
0006_176.1,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2198,2534,2754,0.55,0.63,0.69
0006_176.1,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3386,3767,3922,0.86,0.96,0.99
0006_177.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2328,2792,3035,0.64,0.76,0.83
0006_177.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2097,2416,2626,0.52,0.6,0.65
0006_177.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3288,3658,3851,0.84,0.93,0.98
0006_177.2,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2373,2846,3093,0.64,0.77,0.83
0006_177.2,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2173,2505,2723,0.54,0.62,0.67
0006_177.2,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3379,3759,3957,0.85,0.94,0.99
0006_177.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,2639,3166,3441,0.65,0.78,0.85
0006_177.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,2387,2751,2991,0.59,0.68,0.74
0006_177.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,3720,4138,4223,0.91,1.02,1.04
0006_177.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2042,1377,1661,1887,0.37,0.45,0.51
0006_177.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2042,1135,1307,1486,0.29,0.33,0.37
0006_177.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2042,1838,2106,2394,0.45,0.52,0.59
0006_178.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2128,1175,1383,1572,0.61,0.72,0.82
0006_178.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2128,927,1065,1210,0.45,0.52,0.59
0006_178.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2128,1527,1656,1881,0.72,0.78,0.89
0006_181.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2128,1188,1398,1589,0.62,0.73,0.83
0006_181.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2128,924,1062,1208,0.45,0.52,0.59
0006_181.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2128,1531,1659,1886,0.73,0.79,0.9
0006_184.1,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2128,1190,1400,1591,0.62,0.73,0.82
0006_184.1,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2128,922,1060,1205,0.45,0.51,0.58
0006_184.1,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2128,1530,1659,1885,0.73,0.79,0.9
0006_187.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2128,828,1008,1146,0.4,0.49,0.56
0006_187.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2128,654,741,843,0.31,0.35,0.4
0006_187.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2128,1072,1155,1312,0.56,0.6,0.69
