,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_141.0,2053.0,2115.0,-0.029314420803782507
1,0006_146.9,2059.0,2122.0,-0.029688972667295005
2,0006_149.9,3431.0,2756.2,0.24482983818300566
3,0006_150.6,3673.0,2997.9,0.22519096701024047
4,0006_152.6,4566.2,3780.5,0.20782965216241234
5,0006_152.9,6356.0,5475.0,0.16091324200913243
6,0006_155.8,6375.6,5493.3,0.1606138386762056
7,0006_155.9,5599.8,4989.2,0.12238435019642435
8,0006_157.3,8719.5,8127.7,0.07281272684769372
9,0006_157.6,9853.1,8829.7,0.11590427760852572
10,0006_158.5,15116.3,15179.3,-0.00415038901662132
11,0006_158.9,16755.8,13897.6,0.20566140916417214
12,0006_159.3,18909.0,16080.1,0.17592552285122603
13,0006_159.6,23197.8,20820.6,0.11417538399469761
14,0006_159.8,22559.8,21257.1,0.0612830536620706
15,0006_160.3,28584.6,27005.3,0.05848111296671392
16,0006_173.4,73628.6,77285.0,-0.0473106036100148
17,0006_173.7,59418.1,65398.0,-0.09143857610324477
18,0006_174.0,46716.2,56142.7,-0.16790250557953215
19,0006_174.4,46716.2,54148.8,-0.13726250627899428
20,0006_174.9,33879.6,42206.6,-0.1972914188776163
21,0006_175.6,28961.3,31445.7,-0.07900603262131234
22,0006_176.1,20543.4,20836.9,-0.01408558854724071
23,0006_177.0,24260.5,23446.8,0.034704096081341625
24,0006_177.2,24541.2,24311.4,0.009452355684987259
25,0006_177.5,18474.8,19043.6,-0.029868302211766645
26,0006_177.9,16790.5,16906.9,-0.00688476302574697
27,0006_178.8,15684.0,15818.0,-0.008471361739790113
28,0006_181.6,14943.0,15079.0,-0.009019165727170236
29,0006_184.1,14573.0,14660.0,-0.005934515688949523
30,0006_187.5,9978.0,9969.0,0.0009027986758952753
31,0006_194.8,9828.5,9834.1,-0.0005694471278510859
32,0006_203.6,9656.0,9659.0,-0.0003105911585050212
33,0006_211.2,9656.0,9659.0,-0.0003105911585050212
34,0006_216.2,8750.0,8737.0,0.0014879249170195719
35,0013_000.0,17415.7,15672.8,0.11120540043897718
36,0013_000.6,17675.5,17330.1,0.01993064090801562
37,0013_001.3,17097.2,16505.8,0.03582982951447379
38,0013_001.6,17957.5,17709.0,0.014032412897396804
39,0013_001.8,14852.2,14499.8,0.024303783500462178
40,0013_002.5,11946.6,11586.1,0.03111487040505433
41,0013_002.9,7084.4,6843.3,0.03523154033872539
42,0013_003.3,11907.2,11699.1,0.017787693070407156
43,0013_004.9,12379.7,12229.6,0.01227350035978285
44,0013_005.6,12080.3,11930.2,0.012581515817002106
45,0015_241.6,43311.0,43306.0,0.00011545744238673625
46,0015_242.4,48283.4,47668.8,0.012893129258550635
47,0015_244.8,68948.4,69123.8,-0.002537476238285637
48,0015_246.9,68948.4,69123.8,-0.002537476238285637
49,0015_248.8,82650.6,84964.2,-0.02723029228781053
50,0015_250.9,102952.5,102434.9,0.005052965346771519
51,0015_251.6,106555.5,114451.6,-0.0689907349482227
52,0015_252.5,106555.5,119208.1,-0.10613876070501925
53,0015_253.6,125328.4,131736.0,-0.04863970364972373
54,0015_255.9,125328.4,150288.8,-0.16608290171988863
55,0015_257.3,135968.0,157480.2,-0.13660256971987597
56,0015_257.6,218396.0,218490.8,-0.00043388554575290295
57,0015_258.8,201417.8,229125.3,-0.12092728301937848
58,0015_260.0,219466.9,236957.9,-0.07381480001299809
59,0015_261.8,241130.4,250372.0,-0.03691147572412253
60,0015_263.4,195744.2,202820.2,-0.03488804369584489
61,0015_264.2,195744.2,202820.2,-0.03488804369584489
62,0015_265.6,205214.1,215567.4,-0.048028134124176426
63,0015_266.5,205214.1,228645.1,-0.10247759519010029
64,0015_267.0,205214.1,228645.1,-0.10247759519010029
65,0015_267.9,205214.1,228645.1,-0.10247759519010029
66,0015_269.0,238861.0,252925.7,-0.05560803034250775
67,0015_269.6,238861.0,252925.7,-0.05560803034250775
68,0015_270.6,264818.7,280100.0,-0.05455658693323809
69,0015_271.6,274082.3,284720.2,-0.03736264585371892
70,0015_272.7,277272.1,283365.7,-0.021504366971726058
71,0015_274.7,277272.1,269461.5,0.02898595903310854
72,0015_275.3,282613.7,280998.8,0.0057469996313152345
73,0015_276.4,273825.8,272669.7,0.004239928382214733
74,0015_278.5,241609.9,262089.8,-0.07814077465052052
75,0015_279.6,234748.9,260969.8,-0.10047484421569083
76,0015_282.2,234683.2,243210.5,-0.035061397431443084
77,0015_283.3,250150.3,259818.1,-0.03720987875748463
78,0015_283.9,279181.1,304191.9,-0.08222046675141595
79,0015_285.1,276335.7,299325.1,-0.0768041169952001
80,0015_285.5,276560.5,304137.2,-0.09067190728394951
81,0015_285.8,276563.2,291489.2,-0.05120601380771569
82,0015_286.8,276560.8,295023.3,-0.062579803018948
83,0015_288.2,284937.0,299839.0,-0.04970000566970941
84,0015_289.8,315143.7,317056.1,-0.0060317401242239626
85,0015_291.4,324082.8,319905.1,0.013059185364659744
86,0015_292.6,320907.2,313582.0,0.023359759169850346
87,0015_293.0,325742.7,319678.7,0.01896904610785767
88,0015_293.6,325742.7,319678.7,0.01896904610785767
89,0015_295.6,388333.3,367885.1,0.05558311548904811
90,0015_297.9,378430.5,368982.2,0.02560638426460677
91,0015_299.0,287413.4,296867.6,-0.03184652013220693
92,0015_300.3,287974.3,299634.8,-0.0389157067203142
93,0015_301.7,289816.3,299809.9,-0.03333312208836344
94,0015_302.5,289816.3,299809.9,-0.03333312208836344
95,0015_303.4,285366.9,289504.6,-0.014292346304687228
96,0015_304.7,248466.9,257460.8,-0.034933084958952955
97,0015_305.2,346816.2,352165.9,-0.015190851811603597
98,0015_305.9,319907.4,323518.0,-0.01116043002244072
99,0015_306.3,275914.9,258645.3,0.06676943288743324
100,0015_307.2,275915.1,229720.4,0.20109097842420606
101,0015_307.5,204161.0,233414.5,-0.1253285464270643
102,0015_307.6,282291.1,307161.0,-0.08096698474090143
103,0015_307.8,187839.9,216619.5,-0.1328578452078414
104,0015_308.4,186945.1,215902.8,-0.1341237816276583
105,0015_309.3,188217.0,230084.6,-0.18196611159547404
106,0015_310.2,191570.7,235128.1,-0.18524965752710967
107,0015_311.4,184759.9,235355.0,-0.2149735505937839
108,0015_311.8,178953.1,235354.9,-0.2396457435133069
109,0015_313.7,215007.1,242979.0,-0.1151206482864774
110,0015_315.3,199093.7,231109.6,-0.1385312423196613
111,0015_316.9,195402.4,228451.8,-0.14466684000738886
112,0015_317.6,173542.8,209116.3,-0.17011347274220137
113,0015_318.3,193665.1,228661.1,-0.15304745756930233
114,0015_319.5,189701.3,224458.7,-0.1548498677039474
115,0015_321.0,168972.3,202516.5,-0.1656368740324863
116,0015_322.0,148925.4,184681.5,-0.19360953858399463
117,0015_323.8,91195.8,121469.5,-0.2492288187569719
118,0015_324.4,150451.7,175982.1,-0.14507384557861278
119,0015_325.6,159208.9,183149.0,-0.13071379041108608
120,0015_328.7,170224.5,193234.5,-0.11907811493289241
121,0015_330.1,169467.6,189252.6,-0.10454281737740988
122,0015_331.6,166698.2,183720.1,-0.09265126679116761
123,0015_332.9,176282.9,187761.7,-0.06113493859503837
124,0015_334.1,189759.3,184484.6,0.02859154639465832
125,0015_335.8,194339.9,186724.6,0.04078359252074975
126,0015_337.0,187801.2,184219.5,0.019442567154942945
127,0015_338.5,165963.9,167533.2,-0.00936709858105747
128,0015_339.1,133858.8,140667.2,-0.048400764357291695
129,0015_340.3,163482.0,167775.0,-0.025587840858292354
130,0015_342.0,158053.1,164287.5,-0.03794810925968192
131,0015_343.1,159134.0,166209.4,-0.04256919283746884
132,0015_343.9,147608.7,150534.1,-0.0194334705558408
133,0015_345.0,125795.9,126573.1,-0.006140325234982881
134,0015_346.7,107104.9,109564.0,-0.022444416049067266
135,0015_349.4,78091.4,80067.7,-0.024682862127924282
136,0015_351.9,73232.6,73933.4,-0.009478801191342322
137,0015_357.6,68411.2,68569.1,-0.002302786532126114
138,0015_362.0,48061.6,48574.0,-0.010548853296002006
139,0015_363.7,41213.8,41370.4,-0.0037853151045191377
140,0015_365.5,35377.0,35048.8,0.009364086644906447
141,0026_000.0,38390.8,42448.3,-0.09558686684743559
142,0026_000.2,40313.4,44288.6,-0.08975673198069023
143,0026_000.4,72416.6,71154.9,0.017731737378592505
144,0026_000.7,78688.1,79551.3,-0.010850859759677051
145,0026_001.0,63878.9,63513.4,0.005754691136043732
146,0026_001.3,54975.2,54076.3,0.016622808883004093
147,0026_001.8,62998.1,60956.1,0.03349951850594116
148,0026_002.7,54453.6,52985.6,0.027705640777871725
149,0026_003.0,35749.5,35216.2,0.015143598684696332
150,0026_003.2,28546.9,28399.9,0.00517607456364283
151,0026_003.3,22518.9,22493.2,0.0011425675315206696
152,0026_003.5,12723.8,13074.0,-0.026785987456019636
153,0037_000.0,40001.8,42012.9,-0.0478686308252941
154,0037_001.0,35955.6,39907.4,-0.09902424111818868
155,0037_001.5,34792.0,37341.3,-0.06827025304421654
156,0037_002.0,19371.1,23239.1,-0.16644362303187302
157,0037_003.0,15032.6,15115.6,-0.005491015904099076
158,0037_003.5,11916.3,13320.7,-0.10542989482534712
159,0037_004.1,11063.7,19298.1,-0.4266948559702768
160,0037_004.5,10741.6,9620.7,0.1165091937177128
161,0037_005.7,10970.3,8191.8,0.3391806440586927
162,0037_006.2,11280.7,8652.7,0.3037202260566066
163,0037_006.7,8227.1,5818.5,0.41395548680931515
164,0037_007.2,6223.1,4003.8,0.5542984165043209
165,0037_009.0,7740.5,5884.4,0.3154272313234995
166,0037_009.6,10748.3,22905.4,-0.530752573628926
167,0037_010.0,17225.4,16503.4,0.04374856090260188
168,0037_010.5,16705.3,15537.1,0.0751877763546607
169,0037_011.5,15439.8,17062.4,-0.0950979932483122
170,0038_000.0,2978.1,2848.3,0.0455710423761541
171,0038_000.5,5393.7,5314.1,0.014979018083965196
172,0038_003.2,4861.0,4785.8,0.015713151406243433
173,0039_000.0,23057.3,22640.0,0.01843197879858654
174,0039_000.5,23693.4,23116.7,0.024947332447970545
175,0039_001.5,22936.8,20717.9,0.1071006231326533
176,0039_002.4,25562.3,23085.5,0.10728812458036427
177,0039_003.5,35781.9,35334.2,0.012670443932507441
178,0039_004.0,44381.0,47827.7,-0.07206493308271143
179,0039_004.3,33978.7,34694.6,-0.020634335026200084
180,0039_005.1,28774.6,29112.4,-0.011603303059864624
181,0039_006.0,22638.9,22231.2,0.01833909100723311
182,0039_006.1,23275.7,22871.7,0.01766375039896466
183,0039_006.2,23627.1,22958.2,0.02913555940796743
184,0039_006.4,14385.0,14659.5,-0.01872505883556738
185,0039_007.3,22817.8,22769.1,0.0021388636353655054
186,0039_007.7,10236.5,10275.4,-0.003785740701091893
187,0039_007.9,3898.1,3829.1,0.018019900237653756
188,0039_008.7,9772.0,9826.0,-0.005495623855078364
189,0048_000.0,42661.8,41523.7,0.027408443852547
190,0048_000.5,43405.0,39531.7,0.09797959612159364
191,0048_001.0,43289.3,42766.9,0.012215054165721655
192,0048_001.5,40691.5,39365.8,0.03367643995549428
193,0048_002.0,38416.2,40331.2,-0.04748185027968422
194,0048_002.5,36236.4,38043.9,-0.04751090187914488
195,0048_003.3,36330.9,37363.4,-0.027633994764930385
196,0048_003.5,77666.1,74878.8,0.03722415423324096
197,0048_003.9,41112.5,46529.5,-0.11642076532092543
198,0048_004.1,33400.9,37001.4,-0.09730712891944629
199,0051_000.0,9858.0,9052.2,0.0890170345330416
200,0051_000.6,12127.2,11765.3,0.03075994662269568
