,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_146.9,1856.0,1849.0,7.0
1,0006_149.9,3845.2,3869.7,-24.5
2,0006_150.6,4159.5,4179.5,-20.0
3,0006_152.6,5166.2,5144.7,21.5
4,0006_152.9,6887.6,6794.4,93.20000000000073
5,0006_155.9,2996.4,3022.0,-25.59999999999991
6,0006_157.3,5880.9,5762.8,118.09999999999945
7,0006_157.6,7149.6,7030.1,119.5
8,0006_158.5,6716.5,6532.5,184.0
9,0006_159.6,15483.4,14862.1,621.2999999999993
10,0006_159.8,15942.7,15208.7,734.0
11,0006_160.3,23158.4,22168.0,990.4000000000015
12,0006_173.4,105022.4,97454.0,7568.399999999994
13,0006_173.7,83121.6,77776.6,5345.0
14,0006_174.0,71336.7,67145.5,4191.199999999997
15,0006_174.4,69401.0,65343.3,4057.699999999997
16,0006_174.9,58966.7,55518.5,3448.199999999997
17,0006_175.6,38187.2,36511.3,1675.8999999999942
18,0006_176.1,25479.4,24532.7,946.7000000000007
19,0006_177.0,27551.9,26742.7,809.2000000000007
20,0006_177.2,27551.9,26742.7,809.2000000000007
21,0006_177.5,22823.9,22453.2,370.7000000000007
22,0006_177.9,16952.6,16940.3,12.299999999999272
23,0013_000.0,13630.6,13139.6,491.0
24,0013_000.6,15809.6,15306.5,503.10000000000036
25,0013_001.3,20693.3,20272.2,421.09999999999854
26,0013_001.6,17421.6,16976.3,445.2999999999993
27,0013_001.8,14302.6,13973.1,329.5
28,0013_002.5,12040.0,11855.9,184.10000000000036
29,0013_002.9,7456.6,7330.3,126.30000000000018
30,0013_003.3,10357.5,10222.4,135.10000000000036
31,0013_004.9,12155.7,11843.0,312.7000000000007
32,0013_005.6,14122.9,14015.0,107.89999999999964
33,0015_241.6,45008.0,45028.0,-20.0
34,0015_242.4,53673.5,52782.5,891.0
35,0015_244.8,75349.7,72952.1,2397.5999999999913
36,0015_246.9,99120.7,95176.1,3944.5999999999913
37,0015_248.8,116920.6,111585.4,5335.200000000012
38,0015_250.3,55209.8,52711.2,2498.600000000006
39,0015_250.9,111221.9,106184.0,5037.899999999994
40,0015_251.6,166477.9,158454.2,8023.6999999999825
41,0015_252.5,107272.7,103019.2,4253.5
42,0015_253.6,113902.7,108696.8,5205.899999999994
43,0015_255.9,136247.2,129258.1,6989.100000000006
44,0015_257.3,138014.4,130665.5,7348.899999999994
45,0015_257.6,215373.9,202151.6,13222.299999999988
46,0015_258.8,224313.9,208506.1,15807.799999999988
47,0015_260.0,238129.0,219406.9,18722.100000000006
48,0015_261.8,258023.4,237723.2,20300.199999999983
49,0015_263.4,209498.5,192401.8,17096.70000000001
50,0015_264.2,209498.5,192401.8,17096.70000000001
51,0015_265.6,219571.8,202321.6,17250.199999999983
52,0015_266.5,232903.4,212764.6,20138.79999999999
53,0015_267.9,232903.4,212764.6,20138.79999999999
54,0015_269.0,269170.5,249171.3,19999.20000000001
55,0015_269.6,269170.5,249171.3,19999.20000000001
56,0015_270.6,298100.7,272975.5,25125.20000000001
57,0015_271.6,315345.0,286957.3,28387.70000000001
58,0015_272.7,327067.0,290461.5,36605.5
59,0015_274.7,318733.7,284400.0,34333.70000000001
60,0015_275.3,342203.2,307704.4,34498.79999999999
61,0015_276.4,338688.7,299925.4,38763.29999999999
62,0015_278.5,314395.2,280751.8,33643.40000000002
63,0015_279.6,320463.6,284562.7,35900.899999999965
64,0015_282.2,321166.1,287131.7,34034.399999999965
65,0015_283.3,335839.2,299479.7,36359.5
66,0015_283.9,397760.9,356053.6,41707.30000000005
67,0015_285.1,396370.9,353564.0,42806.90000000002
68,0015_285.8,370410.5,327545.2,42865.29999999999
69,0015_286.8,370408.9,327547.0,42861.90000000002
70,0015_288.2,358536.2,322208.8,36327.40000000002
71,0015_289.8,396107.6,360471.9,35635.69999999995
72,0015_291.4,401622.9,366021.1,35601.80000000005
73,0015_292.6,393388.5,358536.2,34852.29999999999
74,0015_293.0,368894.7,335476.2,33418.5
75,0015_293.6,385982.7,350940.1,35042.600000000035
76,0015_295.6,449476.4,404551.9,44924.5
77,0015_297.9,446476.9,407764.9,38712.0
78,0015_299.0,368739.0,337433.4,31305.599999999977
79,0015_300.3,363480.7,331073.8,32406.900000000023
80,0015_301.7,357295.8,325760.2,31535.599999999977
81,0015_302.5,357295.8,325760.2,31535.599999999977
82,0015_303.4,350151.0,319706.2,30444.79999999999
83,0015_304.7,306310.3,276963.6,29346.70000000001
84,0015_305.2,404361.2,373437.7,30923.5
85,0015_305.9,373475.0,340513.4,32961.59999999998
86,0015_306.3,303585.0,270665.7,32919.29999999999
87,0015_307.2,305491.7,276143.7,29348.0
88,0015_307.5,272266.4,248773.0,23493.400000000023
89,0015_307.6,349291.7,323777.9,25513.79999999999
90,0015_307.8,259424.9,230172.6,29252.29999999999
91,0015_308.4,259496.6,230337.2,29159.399999999994
92,0015_309.3,265748.8,234705.9,31042.899999999994
93,0015_310.2,270777.0,238965.6,31811.399999999994
94,0015_311.4,260007.8,228431.5,31576.29999999999
95,0015_311.8,250450.3,219531.0,30919.29999999999
96,0015_313.7,273344.3,240092.3,33252.0
97,0015_315.3,259373.2,227751.2,31622.0
98,0015_316.9,249026.9,219085.7,29941.199999999983
99,0015_317.6,225334.3,197906.8,27427.5
100,0015_318.3,247791.0,217817.9,29973.100000000006
101,0015_319.5,236619.5,207233.2,29386.29999999999
102,0015_321.0,212668.6,188184.4,24484.20000000001
103,0015_322.0,188674.9,166176.7,22498.199999999983
104,0015_323.8,117611.1,103859.1,13752.0
105,0015_324.4,194674.2,171457.2,23217.0
106,0015_325.6,203147.0,179131.8,24015.20000000001
107,0015_328.7,210252.2,185960.5,24291.70000000001
108,0015_330.1,201007.0,179036.0,21971.0
109,0015_331.6,189668.6,169015.0,20653.600000000006
110,0015_332.9,195622.8,175123.0,20499.79999999999
111,0015_334.1,198823.1,178271.9,20551.20000000001
112,0015_335.8,214195.5,190798.1,23397.399999999994
113,0015_337.0,211544.8,188358.4,23186.399999999994
114,0015_338.5,187093.9,167995.1,19098.79999999999
115,0015_339.1,158208.5,142912.3,15296.200000000012
116,0015_340.3,185999.9,169783.4,16216.5
117,0015_342.0,176883.8,161484.8,15399.0
118,0015_343.1,172976.4,159465.3,13511.100000000006
119,0015_343.9,150746.6,141494.1,9252.5
120,0015_345.0,128065.1,119827.2,8237.900000000009
121,0015_346.7,112906.7,107079.2,5827.5
122,0015_349.4,86242.4,82900.9,3341.5
123,0015_351.9,84419.3,81389.8,3029.5
124,0015_357.6,77923.1,75614.9,2308.2000000000116
125,0015_362.0,55269.7,54128.2,1141.5
126,0015_363.7,48580.7,48071.0,509.6999999999971
127,0015_365.5,40506.7,40488.8,17.89999999999418
128,0015_368.1,39671.0,39687.0,-16.0
129,0026_000.0,40088.6,40182.2,-93.59999999999854
130,0026_000.2,39947.6,40292.3,-344.70000000000437
131,0026_000.4,68833.3,65373.9,3459.4000000000015
132,0026_000.7,75604.0,73416.6,2187.399999999994
133,0026_001.0,66476.2,63867.5,2608.699999999997
134,0026_001.3,52134.4,50514.3,1620.0999999999985
135,0026_001.8,65276.3,63195.1,2081.2000000000044
136,0026_002.7,57151.9,55604.5,1547.4000000000015
137,0026_003.0,30539.2,29573.1,966.1000000000022
138,0026_003.2,24516.1,23731.5,784.5999999999985
139,0026_003.3,20104.2,19492.9,611.2999999999993
140,0026_003.5,11522.6,11243.6,279.0
141,0037_000.0,45222.8,42772.0,2450.800000000003
142,0037_001.0,41910.8,39768.7,2142.100000000006
143,0037_001.5,32853.2,31187.7,1665.4999999999964
144,0037_002.0,19121.0,18451.7,669.2999999999993
145,0037_003.0,10958.9,10597.7,361.1999999999989
146,0037_003.5,8567.9,8273.5,294.39999999999964
147,0037_004.1,16564.5,15554.8,1009.7000000000007
148,0037_004.5,10401.4,9702.6,698.7999999999993
149,0037_005.7,10366.2,9649.5,716.7000000000007
150,0037_006.2,9584.8,9114.8,470.0
151,0037_006.7,7841.5,7405.4,436.10000000000036
152,0037_007.2,6449.4,6184.2,265.1999999999998
153,0037_009.0,11416.7,10764.9,651.8000000000011
