,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_146.9,1837.0,1849.0,-12.0
1,0006_149.9,4868.0,3869.7,998.3000000000002
2,0006_150.6,5204.1,4179.5,1024.6000000000004
3,0006_152.6,6632.3,5144.7,1487.6000000000004
4,0006_152.9,8571.5,6794.4,1777.1000000000004
5,0006_155.9,6699.6,3022.0,3677.6000000000004
6,0006_157.3,9973.1,5762.8,4210.3
7,0006_157.6,12453.0,7030.1,5422.9
8,0006_158.5,17844.3,6532.5,11311.8
9,0006_159.6,26833.3,14862.1,11971.199999999999
10,0006_159.8,25377.3,15208.7,10168.599999999999
11,0006_160.3,34113.9,22168.0,11945.900000000001
12,0006_173.4,76147.4,97454.0,-21306.600000000006
13,0006_173.7,63203.7,77776.6,-14572.900000000009
14,0006_174.0,50668.2,67145.5,-16477.300000000003
15,0006_174.4,50668.2,65343.3,-14675.100000000006
16,0006_174.9,35463.0,55518.5,-20055.5
17,0006_175.6,35463.0,36511.3,-1048.300000000003
18,0006_176.1,23851.3,24532.7,-681.4000000000015
19,0006_177.0,29448.5,26742.7,2705.7999999999993
20,0006_177.2,28921.1,26742.7,2178.399999999998
21,0006_177.5,20987.8,22453.2,-1465.4000000000015
22,0006_177.9,16942.8,16940.3,2.5
23,0013_000.0,14164.0,13139.6,1024.3999999999996
24,0013_000.6,17165.5,15306.5,1859.0
25,0013_001.3,22135.2,20272.2,1863.0
26,0013_001.6,18023.2,16976.3,1046.9000000000015
27,0013_001.8,14937.0,13973.1,963.8999999999996
28,0013_002.5,12790.9,11855.9,935.0
29,0013_002.9,7738.3,7330.3,408.0
30,0013_003.3,11498.6,10222.4,1276.2000000000007
31,0013_004.9,12054.6,11843.0,211.60000000000036
32,0013_005.6,14022.8,14015.0,7.799999999999272
33,0015_241.6,44828.0,45028.0,-200.0
34,0015_242.4,54919.3,52782.5,2136.800000000003
35,0015_244.8,78760.4,72952.1,5808.299999999988
36,0015_246.9,78760.4,95176.1,-16415.70000000001
