,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_146.9,1814.0,1811.9,2.099999999999909
1,0006_149.9,2890.6,3020.6,-130.0
2,0006_150.6,3131.6,3267.4,-135.80000000000018
3,0006_152.6,4196.5,4370.0,-173.5
4,0006_152.9,5767.2,5979.1,-211.90000000000055
5,0006_155.9,2672.9,2792.2,-119.29999999999973
6,0006_157.3,5313.6,5533.4,-219.79999999999927
7,0006_157.6,6542.7,6797.1,-254.40000000000055
8,0006_158.5,6270.4,6513.6,-243.20000000000073
9,0006_159.6,13939.1,14460.2,-521.1000000000004
10,0006_159.8,13753.1,14219.9,-466.7999999999993
11,0006_160.3,20202.3,20816.8,-614.5
12,0006_173.4,92665.2,89805.5,2859.699999999997
13,0006_173.7,74713.4,74313.6,399.79999999998836
14,0006_174.0,63627.1,64346.0,-718.9000000000015
15,0006_174.4,62054.4,62747.8,-693.4000000000015
16,0006_174.9,54236.7,54397.9,-161.20000000000437
17,0006_175.6,35579.7,35655.4,-75.70000000000437
18,0006_176.1,24229.4,24237.9,-8.5
19,0006_177.0,26288.5,26465.5,-177.0
20,0006_177.2,26288.5,26465.5,-177.0
21,0006_177.5,22341.9,22470.9,-129.0
22,0006_177.9,17009.1,16994.3,14.799999999999272
23,0013_000.0,13205.1,13650.5,-445.39999999999964
24,0013_000.6,14215.9,14634.1,-418.2000000000007
25,0013_001.3,16572.6,17011.0,-438.40000000000146
26,0013_001.6,14909.9,15298.7,-388.8000000000011
27,0013_001.8,11859.2,12117.8,-258.59999999999854
28,0013_002.5,9710.8,9875.2,-164.40000000000146
29,0013_002.9,5800.9,5870.2,-69.30000000000018
30,0013_003.3,8921.9,8960.4,-38.5
31,0013_004.9,9636.9,9660.5,-23.600000000000364
32,0013_005.6,13806.5,13788.8,17.700000000000728
33,0015_241.6,43186.4,43076.8,109.59999999999854
34,0015_242.4,52552.2,52658.1,-105.90000000000146
35,0015_244.8,71491.2,72051.4,-560.1999999999971
36,0015_246.9,91696.4,92854.7,-1158.300000000003
37,0015_248.8,107963.3,109973.9,-2010.5999999999913
38,0015_250.3,51354.9,52409.3,-1054.4000000000015
39,0015_250.9,101997.4,104627.3,-2629.9000000000087
40,0015_251.6,151741.1,154693.6,-2952.5
41,0015_252.5,98799.8,102484.5,-3684.699999999997
42,0015_253.6,105243.2,109314.0,-4070.800000000003
43,0015_255.9,125310.8,129669.8,-4359.0
44,0015_257.3,124834.4,129339.2,-4504.800000000003
45,0015_257.6,190871.4,192398.7,-1527.3000000000175
46,0015_258.8,198637.9,198127.7,510.19999999998254
47,0015_260.0,208632.2,206614.1,2018.1000000000058
48,0015_261.8,224546.3,222363.2,2183.0999999999767
49,0015_263.4,175878.7,175622.7,256.0
50,0015_264.2,175878.7,175622.7,256.0
51,0015_265.6,184364.9,184218.3,146.60000000000582
52,0015_266.5,197325.3,194737.3,2588.0
53,0015_267.9,197325.3,194737.3,2588.0
54,0015_269.0,211359.5,206658.6,4700.899999999994
55,0015_269.6,211359.5,206658.6,4700.899999999994
56,0015_270.6,242314.9,235086.8,7228.100000000006
57,0015_271.6,255759.3,246669.4,9089.899999999994
58,0015_272.7,264444.0,251073.7,13370.299999999988
59,0015_274.7,249805.8,238564.7,11241.099999999977
60,0015_275.3,292150.9,279492.8,12658.100000000035
61,0015_276.4,290028.7,273329.8,16698.900000000023
62,0015_278.5,260032.8,248462.2,11570.599999999977
63,0015_279.6,266584.3,250183.0,16401.29999999999
64,0015_282.2,263286.6,250057.2,13229.399999999965
65,0015_283.3,275963.4,259463.7,16499.70000000001
66,0015_283.9,331491.9,308564.9,22927.0
67,0015_285.1,318234.0,293941.2,24292.79999999999
68,0015_285.8,314038.3,289203.0,24835.29999999999
69,0015_286.8,314036.8,289209.8,24827.0
70,0015_288.2,307120.5,285619.3,21501.20000000001
71,0015_289.8,351241.1,333045.8,18195.29999999999
72,0015_291.4,371655.9,353818.8,17837.100000000035
73,0015_292.6,367646.2,350974.7,16671.5
74,0015_293.0,370519.5,355292.5,15227.0
75,0015_293.6,382221.0,363920.6,18300.400000000023
76,0015_295.6,413827.0,390529.2,23297.79999999999
77,0015_297.9,404346.0,387945.3,16400.70000000001
