,SEGID,DYVolScenario,DYVolBase,DYVolAdj
0,0006_146.9,1559.2,1559.1,0.10000000000013642
1,0006_149.9,1757.1,1755.5,1.599999999999909
2,0006_150.6,1971.4,1970.6,0.8000000000001819
3,0006_152.6,2892.6,2894.4,-1.800000000000182
4,0006_152.9,3982.9,3986.8,-3.900000000000091
5,0006_155.9,3108.6,3114.0,-5.400000000000091
6,0006_157.3,4537.7,4544.2,-6.5
7,0006_157.6,5053.5,5059.7,-6.199999999999818
8,0006_158.5,7999.6,8011.7,-12.099999999999454
9,0006_159.6,11924.1,11940.1,-16.0
10,0006_159.8,13599.6,13629.4,-29.799999999999272
11,0006_160.3,18486.5,18536.0,-49.5
12,0006_173.4,55829.9,56026.3,-196.40000000000146
13,0006_173.7,50700.8,50759.6,-58.799999999995634
14,0006_174.0,42054.2,42112.6,-58.400000000001455
15,0006_174.4,42054.2,42112.6,-58.400000000001455
16,0006_174.9,30371.4,30374.7,-3.2999999999992724
17,0006_175.6,26179.8,26165.1,14.700000000000728
18,0006_176.1,17950.6,17915.3,35.29999999999927
19,0006_177.0,22531.4,22489.5,41.900000000001455
20,0006_177.2,22531.4,22489.5,41.900000000001455
21,0006_177.5,15198.5,15160.5,38.0
22,0006_177.9,13468.1,13466.5,1.6000000000003638
23,0013_000.0,12617.9,12758.5,-140.60000000000036
24,0013_000.6,14038.3,14121.3,-83.0
25,0013_001.3,16045.5,16128.7,-83.20000000000073
26,0013_001.6,14768.0,14809.2,-41.20000000000073
27,0013_001.8,11760.5,11787.6,-27.100000000000364
28,0013_002.5,9436.2,9460.0,-23.799999999999272
29,0013_002.9,5323.6,5335.8,-12.199999999999818
30,0013_003.3,7268.6,7293.6,-25.0
31,0013_004.9,6900.6,6924.4,-23.799999999999272
32,0013_005.6,10338.2,10339.2,-1.0
33,0015_241.6,32509.1,32504.3,4.799999999999272
34,0015_242.4,36570.1,36576.4,-6.30000000000291
35,0015_244.8,51805.2,51872.0,-66.80000000000291
36,0015_246.9,51805.2,51872.0,-66.80000000000291
37,0015_248.8,59895.6,60008.4,-112.80000000000291
38,0015_250.3,29114.3,29176.4,-62.10000000000218
39,0015_250.9,75478.5,75757.1,-278.6000000000058
40,0015_251.6,75096.5,75369.8,-273.3000000000029
41,0015_252.5,83443.8,83756.2,-312.3999999999942
42,0015_253.6,87108.9,87487.9,-379.0
43,0015_255.9,97575.1,98660.1,-1085.0
44,0015_257.3,104132.8,104938.9,-806.0999999999913
45,0015_257.6,157913.9,158743.1,-829.2000000000116
46,0015_258.8,160491.9,161374.5,-882.6000000000058
47,0015_260.0,177466.8,177340.2,126.59999999997672
48,0015_261.8,192073.4,192453.6,-380.20000000001164
49,0015_263.4,153270.3,154226.5,-956.2000000000116
50,0015_264.2,153270.3,154226.5,-956.2000000000116
51,0015_265.6,166027.1,167458.8,-1431.6999999999825
52,0015_266.5,189578.7,189633.2,-54.5
53,0015_267.9,189578.7,189633.2,-54.5
54,0015_269.0,202095.2,199884.5,2210.7000000000116
55,0015_269.6,202095.2,199884.5,2210.7000000000116
56,0015_270.6,226279.9,225871.6,408.29999999998836
57,0015_271.6,238002.1,238104.6,-102.5
58,0015_272.7,239131.7,240291.4,-1159.6999999999825
59,0015_274.7,230311.4,231247.0,-935.6000000000058
60,0015_275.3,241654.5,242956.3,-1301.7999999999884
61,0015_276.4,229172.6,230007.1,-834.5
62,0015_278.5,212465.0,213207.1,-742.1000000000058
63,0015_279.6,213480.0,215297.6,-1817.6000000000058
64,0015_282.2,208352.6,213647.9,-5295.299999999988
65,0015_283.3,208568.8,213466.6,-4897.8000000000175
66,0015_283.9,253373.0,255924.3,-2551.2999999999884
67,0015_285.1,252567.0,257749.1,-5182.100000000006
68,0015_285.8,249566.9,252617.0,-3050.100000000006
69,0015_286.8,249567.0,252617.3,-3050.2999999999884
70,0015_288.2,251377.8,253341.9,-1964.1000000000058
71,0015_289.8,280830.6,285051.1,-4220.5
72,0015_291.4,301188.5,305613.4,-4424.900000000023
73,0015_292.6,301147.5,304097.3,-2949.7999999999884
74,0015_293.0,312535.8,315921.6,-3385.7999999999884
75,0015_293.6,312561.8,315656.2,-3094.4000000000233
76,0015_295.6,355523.6,359627.4,-4103.800000000047
77,0015_297.9,352362.7,355037.2,-2674.5
78,0015_299.0,276207.3,277942.8,-1735.5
79,0015_300.3,279482.7,279915.7,-433.0
80,0015_301.7,278557.8,278164.7,393.0999999999767
81,0015_302.5,278557.8,278164.7,393.0999999999767
82,0015_303.4,277315.0,274658.4,2656.5999999999767
83,0015_304.7,239569.0,239438.0,131.0
84,0015_305.2,322481.2,321954.4,526.7999999999884
85,0015_305.9,294884.6,294977.8,-93.20000000001164
86,0015_306.3,250530.3,250840.9,-310.6000000000058
87,0015_307.2,250530.3,250841.0,-310.70000000001164
88,0015_307.5,205478.5,203401.4,2077.100000000006
89,0015_307.6,282391.1,277038.1,5353.0
90,0015_307.8,189973.0,184772.7,5200.299999999988
91,0015_308.4,189242.5,183854.7,5387.799999999988
92,0015_309.3,195947.4,181113.8,14833.600000000006
93,0015_310.2,198215.4,185780.6,12434.799999999988
94,0015_311.4,187422.6,178696.0,8726.600000000006
95,0015_311.8,179405.6,173353.4,6052.200000000012
96,0015_313.7,195002.8,191989.8,3013.0
97,0015_315.3,181092.7,180482.7,610.0
98,0015_316.9,171807.7,171698.6,109.10000000000582
99,0015_317.6,154534.2,155030.1,-495.8999999999942
100,0015_318.3,170497.2,171226.9,-729.6999999999825
101,0015_319.5,164031.3,164092.4,-61.10000000000582
102,0015_321.0,150019.3,149333.8,685.5
103,0015_322.0,135212.1,133886.8,1325.3000000000175
104,0015_323.8,87714.8,86084.9,1629.9000000000087
105,0015_324.4,146245.8,140272.6,5973.1999999999825
106,0015_325.6,150630.9,143596.4,7034.5
107,0015_328.7,157068.8,148845.5,8223.299999999988
108,0015_330.1,155601.4,147160.8,8440.600000000006
109,0015_331.6,146551.9,138745.8,7806.100000000006
110,0015_332.9,157748.9,147470.5,10278.399999999994
111,0015_334.1,170774.9,158552.3,12222.600000000006
112,0015_335.8,184420.5,169781.5,14639.0
113,0015_337.0,172264.7,165541.0,6723.700000000012
114,0015_338.5,149784.2,142050.2,7734.0
115,0015_339.1,123950.5,116632.4,7318.100000000006
116,0015_340.3,143913.3,136654.8,7258.5
117,0015_342.0,135353.8,129513.4,5840.399999999994
118,0015_343.1,131107.1,128683.2,2423.9000000000087
119,0015_343.9,117388.8,114882.5,2506.300000000003
120,0015_345.0,102507.7,101602.6,905.0999999999913
121,0015_346.7,91659.7,91505.9,153.8000000000029
122,0015_349.4,72769.0,71590.1,1178.8999999999942
123,0015_351.9,67353.3,66939.0,414.3000000000029
124,0015_357.6,63998.9,63672.3,326.59999999999854
125,0015_362.0,44629.9,44524.7,105.20000000000437
126,0015_363.7,38545.1,38504.3,40.799999999995634
127,0015_365.5,31586.6,31548.2,38.39999999999782
128,0026_000.0,38929.5,39380.6,-451.09999999999854
129,0026_000.2,38951.1,39343.1,-392.0
130,0026_000.4,64785.2,64760.3,24.89999999999418
131,0026_000.7,67614.1,67739.0,-124.89999999999418
132,0026_001.0,60188.1,59394.6,793.5
133,0026_001.3,46340.3,48369.3,-2029.0
134,0026_001.8,59813.7,60380.8,-567.1000000000058
135,0026_002.7,52295.5,52975.0,-679.5
136,0026_003.0,27848.5,28767.0,-918.5
137,0026_003.2,21536.9,22569.9,-1033.0
138,0026_003.3,17614.0,18537.4,-923.4000000000015
139,0026_003.5,9284.9,8990.6,294.2999999999993
140,0037_000.0,34563.8,34889.8,-326.0
141,0037_001.0,33178.0,33760.9,-582.9000000000015
142,0037_001.5,24489.0,25605.5,-1116.5
143,0037_002.0,15130.8,16075.6,-944.8000000000011
144,0037_003.0,8638.9,9836.6,-1197.7000000000007
145,0037_003.5,6608.8,7730.0,-1121.1999999999998
146,0037_004.1,12931.7,14560.8,-1629.0999999999985
147,0037_004.5,5857.0,5842.7,14.300000000000182
148,0037_005.7,5766.4,5755.6,10.799999999999272
149,0037_006.2,6120.3,6118.9,1.4000000000005457
150,0037_006.7,4538.3,4391.8,146.5
151,0037_007.2,3974.2,3929.6,44.59999999999991
152,0037_009.0,7821.9,8265.4,-443.5
153,0037_009.6,7805.1,8380.6,-575.5
154,0037_010.0,9237.5,9294.0,-56.5
155,0037_010.5,7650.4,7672.6,-22.200000000000728
156,0037_011.5,7462.4,7589.4,-127.0
157,0038_000.0,2165.2,2171.6,-6.400000000000091
158,0038_000.5,3837.8,3842.3,-4.5
159,0039_000.0,9594.4,9515.8,78.60000000000036
160,0039_000.5,13415.5,13625.5,-210.0
161,0039_001.5,13905.2,14263.9,-358.6999999999989
162,0039_002.4,15739.2,15782.5,-43.29999999999927
163,0039_003.5,20704.1,20634.0,70.09999999999854
164,0039_004.0,36499.9,37143.4,-643.5
165,0039_004.3,35134.9,35821.8,-686.9000000000015
166,0039_005.1,29663.4,30538.6,-875.1999999999971
167,0039_006.0,18719.2,19242.9,-523.7000000000007
168,0039_006.1,17130.1,17769.0,-638.9000000000015
169,0039_006.2,18508.9,19057.6,-548.6999999999971
170,0039_006.4,15558.5,15769.6,-211.10000000000036
171,0039_007.3,23402.4,23897.4,-495.0
172,0039_007.7,5660.4,5710.8,-50.400000000000546
173,0039_007.9,2308.4,2340.6,-32.19999999999982
174,0039_008.7,9137.7,9122.3,15.400000000001455
175,0048_000.0,40579.6,41315.6,-736.0
176,0048_000.5,37123.7,37915.9,-792.2000000000044
177,0048_001.0,39466.8,39795.4,-328.59999999999854
178,0048_001.5,38782.5,39277.0,-494.5
179,0048_002.0,39645.9,35921.3,3724.5999999999985
180,0048_002.5,36260.5,32868.4,3392.0999999999985
181,0048_003.3,35361.3,33751.8,1609.5
182,0048_003.5,58210.6,58990.9,-780.3000000000029
