SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0006_146.9,2.0,0.1,0.07,0.12,0.09,0.06,0.1,0.07,0.05,0.09
0006_149.9,2.0,0.21,0.14,0.26,0.18,0.12,0.23,0.15,0.11,0.22
0006_150.6,2.0,0.2,0.14,0.26,0.17,0.12,0.23,0.14,0.11,0.21
0006_152.6,3.0,0.21,0.17,0.26,0.18,0.15,0.23,0.15,0.13,0.21
0006_152.9,2.0,0.36,0.27,0.41,0.33,0.25,0.38,0.28,0.22,0.34
0006_155.9,2.0,0.22,0.21,0.32,0.19,0.18,0.28,0.16,0.16,0.25
0006_157.3,2.0,0.28,0.29,0.42,0.25,0.25,0.37,0.21,0.22,0.32
0006_157.6,2.0,0.33,0.33,0.48,0.29,0.29,0.42,0.24,0.25,0.37
0006_158.5,2.0,0.32,0.3,0.46,0.28,0.27,0.4,0.23,0.23,0.35
0006_159.6,2.0,0.35,0.31,0.47,0.32,0.29,0.43,0.27,0.25,0.39
0006_159.8,2.0,0.54,0.42,0.67,0.49,0.38,0.62,0.41,0.33,0.56
0006_160.3,2.0,0.77,0.62,0.95,0.71,0.57,0.9,0.59,0.5,0.81
0006_173.4,33.0,0.88,0.78,0.95,0.81,0.72,0.9,0.67,0.61,0.83
0006_173.7,33.0,0.88,0.54,0.87,0.81,0.5,0.8,0.69,0.39,0.73
0006_174.0,33.0,0.93,0.6,0.93,0.89,0.55,0.88,0.75,0.43,0.8
0006_174.4,33.0,0.88,0.55,0.83,0.81,0.51,0.77,0.69,0.4,0.69
0006_174.9,33.0,0.91,0.64,0.92,0.86,0.59,0.84,0.74,0.46,0.76
0006_175.6,13.0,1.03,0.82,1.13,1.01,0.75,1.11,0.84,0.65,1.0
0006_176.1,13.0,0.9,0.73,1.02,0.85,0.67,1.0,0.71,0.59,0.9
0006_177.0,13.0,0.83,0.72,0.99,0.76,0.66,0.96,0.63,0.57,0.86
0006_177.2,13.0,0.55,0.47,0.69,0.5,0.44,0.63,0.42,0.38,0.57
0006_177.5,13.0,0.54,0.49,0.71,0.5,0.45,0.65,0.41,0.39,0.59
0006_177.9,13.0,0.41,0.35,0.54,0.38,0.33,0.5,0.31,0.28,0.45
0013_000.0,2.0,0.52,0.48,0.81,0.48,0.44,0.74,0.4,0.38,0.67
0013_000.6,2.0,0.5,0.48,0.72,0.46,0.44,0.66,0.38,0.38,0.6
0013_001.3,2.0,0.52,0.42,0.66,0.48,0.38,0.61,0.4,0.33,0.56
0013_001.6,2.0,0.45,0.45,0.61,0.42,0.41,0.56,0.34,0.35,0.51
0013_001.8,2.0,0.42,0.41,0.58,0.39,0.38,0.53,0.32,0.33,0.48
